Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM1,1,1,1,0,OK,5828,27562,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221120T190805_SmallPatches_C2-CAM6,1,1,1,0,OK,915,33626,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM7,1,1,1,0,OK,6011,4872,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM6,1,1,1,0,OK,3604,31033,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM7,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM5,1,0,1,0,WEIRD,0,1153,33511,0.9667378259866144,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM1,1,1,1,0,OK,11729,22887,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM7,1,1,1,0,OK,5653,28948,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM8,1,1,1,0,OK,8693,25983,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM5,1,1,1,0,OK,0,34680,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM6,1,1,1,0,OK,969,33629,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM5,1,0,1,0,WEIRD,0,7732,26822,0.7762342999363315,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T192231_SmallPatches_C2-CAM2,1,1,1,0,OK,3340,31358,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM2,1,1,1,0,OK,0,34698,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM1,1,1,1,0,OK,5631,29008,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM6,1,0,1,0,WEIRD,16562,8147,1,4.046944556859571e-05,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM2,1,1,1,0,OK,13361,20675,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM7,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM8,1,1,1,0,OK,0,1840,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM1,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM2,1,1,1,0,OK,1270,33341,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM6,1,1,1,0,OK,0,34683,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM5,1,1,1,0,OK,2732,31930,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM1,1,1,1,0,OK,10228,24365,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM7,1,1,1,0,OK,433,1994,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM6,1,0,1,0,WEIRD,0,4396,30282,0.8732337505046427,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM8,1,1,1,0,OK,6204,28375,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM1,1,1,1,0,OK,0,33146,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T112304_SmallPatches_C4-CAM4,1,0,1,0,WEIRD,4297,14455,12208,0.3943152454780362,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T130040_SmallPatches_C2-CAM7,1,1,1,0,OK,3240,24110,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM8,1,1,1,0,OK,90,34543,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM3,1,1,1,0,OK,874,33747,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM7,1,1,1,0,OK,14106,20512,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195557_SmallPatches_C1-CAM4,1,1,1,0,OK,3637,30933,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM8,1,1,1,0,OK,2733,31847,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM6,1,1,1,0,OK,1078,30627,0,0.0,1 worm clean
