Path to each video;ID conserved of an individual;noise or worm ?;Comments
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;1;worm;1 worm
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;2;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;3;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;4;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;5;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;6;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;7;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;8;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;9;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;10;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;11;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;12;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;13;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;14;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;15;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;16;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;17;noise;
Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;18;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;1;worm;1 worm
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;2;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;3;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;4;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;5;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;6;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;7;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;8;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;9;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;10;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;11;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;12;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;13;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;14;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;15;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;16;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;17;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;18;noise;
Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;19;noise;
